# Per-epoch training curves for the four 250-epoch matched-budget arms.
# Source: SLURM stdout on the DoC NFS home, ~/msc_thesis/RoPART/in100-*-e250_<job>.out
# All ViT-B/32 @ 224, IN-100, P=32, bf16, variance balancing, 250 epochs, cosine to min_lr.
arm,job,epoch,lr,train_loss
rot_unsup,269807,169,1.31e-04,0.0927
rot_unsup,269807,170,1.28e-04,0.0921
rot_unsup,269807,171,1.25e-04,0.0904
rot_unsup,269807,172,1.23e-04,0.0903
rot_unsup,269807,173,1.20e-04,0.0891
rot_unsup,269807,174,1.17e-04,0.0888
rot_unsup,269807,175,1.15e-04,0.0887
rot_unsup,269807,176,1.12e-04,0.0868
rot_unsup,269807,177,1.10e-04,0.0866
rot_unsup,269807,178,1.07e-04,0.0860
rot_unsup,269807,179,1.05e-04,0.0849
rot_unsup,269807,180,1.02e-04,0.0842
rot_unsup,269807,181,9.98e-05,0.0834
rot_unsup,269807,182,9.74e-05,0.0827
rot_unsup,269807,183,9.50e-05,0.0815
rot_unsup,269807,184,9.26e-05,0.0812
rot_unsup,269807,185,9.03e-05,0.0797
rot_unsup,269807,186,8.80e-05,0.0801
rot_unsup,269807,187,8.57e-05,0.0794
rot_unsup,269807,188,8.34e-05,0.0780
rot_unsup,269807,189,8.12e-05,0.0778
rot_unsup,269807,190,7.90e-05,0.0766
rot_unsup,269807,191,7.68e-05,0.0758
rot_unsup,269807,192,7.47e-05,0.0753
rot_unsup,269807,193,7.26e-05,0.0745
rot_unsup,269807,194,7.05e-05,0.0741
rot_unsup,269807,195,6.84e-05,0.0736
rot_unsup,269807,196,6.64e-05,0.0731
rot_unsup,269807,197,6.44e-05,0.0722
rot_unsup,269807,198,6.25e-05,0.0718
rot_unsup,269807,199,6.05e-05,0.0709
rot_unsup,269807,200,5.87e-05,0.0706
rot_unsup,269807,201,5.68e-05,0.0698
rot_unsup,269807,202,5.50e-05,0.0690
rot_unsup,269807,203,5.32e-05,0.0683
rot_unsup,269807,204,5.14e-05,0.0680
rot_unsup,269807,205,4.97e-05,0.0674
rot_unsup,269807,206,4.80e-05,0.0665
rot_unsup,269807,207,4.63e-05,0.0659
rot_unsup,269807,208,4.47e-05,0.0660
rot_unsup,269807,209,4.31e-05,0.0656
rot_unsup,269807,210,4.15e-05,0.0653
rot_unsup,269807,211,4.00e-05,0.0640
rot_unsup,269807,212,3.85e-05,0.0643
rot_unsup,269807,213,3.71e-05,0.0631
rot_unsup,269807,214,3.56e-05,0.0629
rot_unsup,269807,215,3.43e-05,0.0622
rot_unsup,269807,216,3.29e-05,0.0613
rot_unsup,269807,217,3.16e-05,0.0618
rot_unsup,269807,218,3.03e-05,0.0611
rot_unsup,269807,219,2.91e-05,0.0608
rot_unsup,269807,220,2.79e-05,0.0605
rot_unsup,269807,221,2.67e-05,0.0600
rot_unsup,269807,222,2.56e-05,0.0598
rot_unsup,269807,223,2.45e-05,0.0591
rot_unsup,269807,224,2.35e-05,0.0592
rot_unsup,269807,225,2.25e-05,0.0588
rot_unsup,269807,226,2.15e-05,0.0585
rot_unsup,269807,227,2.06e-05,0.0579
rot_unsup,269807,228,1.97e-05,0.0579
rot_unsup,269807,229,1.88e-05,0.0575
rot_unsup,269807,230,1.80e-05,0.0572
rot_unsup,269807,231,1.72e-05,0.0570
rot_unsup,269807,232,1.65e-05,0.0565
rot_unsup,269807,233,1.58e-05,0.0565
rot_unsup,269807,234,1.51e-05,0.0562
rot_unsup,269807,235,1.45e-05,0.0557
